Environment,Task,SolutionConcept,Method,Epoch,Iteration,Risk,ExpectedReward,BFViolated,RegretViolated
FairGamble,MDCE,DBCE,DBCE,0,0,0.0,0.0,5.934972409527006e-08,0.0
FairGamble,MDCE,DBCE,DBCE,0,1,0.0,0.0,5.934972409527006e-08,0.0
FairGamble,MDCE,DBCE,DBCE,1,0,0.0,0.0,5.934972409527006e-08,0.0
FairGamble,MDCE,DBCE,DBCE,1,1,0.0,0.0,5.934972409527006e-08,0.0
FairGamble,MDCE,DBCE,DBCE,2,0,0.0,0.0,5.934972409527006e-08,0.0
FairGamble,MDCE,DBCE,DBCE,2,1,0.0,0.0,5.934972409527006e-08,0.0
FairGamble,MDCE,DBCE,DBCE,3,0,0.0,0.0,5.934972409527006e-08,0.0
FairGamble,MDCE,DBCE,DBCE,3,1,0.0,0.0,5.934972409527006e-08,0.0
FairGamble,MDCE,DBCE,DBCE,4,0,0.0,0.0,5.934972409527006e-08,0.0
FairGamble,MDCE,DBCE,DBCE,4,1,0.0,0.0,5.934972409527006e-08,0.0
