Environment,Task,SolutionConcept,Method,Epoch,Iteration,Risk,ExpectedReward,BFViolated,RegretViolated
FairGamble,MDCE,MinRew,Vanilla,0,0,16.582911713835166,0.0,5.038057295791987e-07,0.0
FairGamble,MDCE,MinRew,Vanilla,0,1,16.582911713835166,0.0,5.038057295791987e-07,0.0
FairGamble,MDCE,MinRew,Vanilla,1,0,16.582911713835166,0.0,5.038057295791987e-07,0.0
FairGamble,MDCE,MinRew,Vanilla,1,1,16.582911713835166,0.0,5.038057295791987e-07,0.0
FairGamble,MDCE,MinRew,Vanilla,2,0,16.582911713835166,0.0,5.038057295791987e-07,0.0
FairGamble,MDCE,MinRew,Vanilla,2,1,16.582911713835166,0.0,5.038057295791987e-07,0.0
FairGamble,MDCE,MinRew,Vanilla,3,0,16.582911713835166,0.0,5.038057295791987e-07,0.0
FairGamble,MDCE,MinRew,Vanilla,3,1,16.582911713835166,0.0,5.038057295791987e-07,0.0
FairGamble,MDCE,MinRew,Vanilla,4,0,16.582911713835166,0.0,5.038057295791987e-07,0.0
FairGamble,MDCE,MinRew,Vanilla,4,1,16.582911713835166,0.0,5.038057295791987e-07,0.0
