Environment,Task,SolutionConcept,Method,Epoch,Iteration,Risk,ExpectedReward,BFViolated,RegretViolated,observe_convergence,check_CE
FairGamble,MDCE,MaxRew,constrained,0,0,11.120913697178537,0.0,22.05390337942079,1.5512737582230385,False,4.091161061048084
FairGamble,MDCE,MaxRew,constrained,0,1,0.631983768295375,0.0,1.1593453873283508,0.0695576087862961,False,2.452122570102732
FairGamble,MDCE,MaxRew,constrained,0,2,13.91510206242812,0.0,27.620088815627888,1.5382680906878634,False,1.5450359349346878
FairGamble,MDCE,MaxRew,constrained,0,3,14.071581640224975,0.0,27.9318052184028,1.5378670819531375,False,1.5344072290109412
FairGamble,MDCE,MaxRew,constrained,0,4,14.184429109321279,0.0,28.156603928145454,1.5316714435622423,False,1.5099038647155987
FairGamble,MDCE,MaxRew,constrained,0,5,14.269942590190848,0.0,28.32695174648735,1.5072776415459481,False,1.5133121335743427
FairGamble,MDCE,MaxRew,constrained,0,6,14.31763442516197,0.0,28.421956650459524,1.457554845729494,False,1.439840419348416
FairGamble,MDCE,MaxRew,constrained,0,7,14.311221242280448,0.0,28.40918121774367,1.439753740140533,True,1.4157975924903918
FairGamble,MDCE,MaxRew,constrained,0,8,14.348967903898126,0.0,28.484374759235507,1.4162857663246293,True,1.4060038562666803
FairGamble,MDCE,MaxRew,constrained,0,9,14.365650944315929,0.0,28.517608343854363,1.4052617697327618,True,1.37784310716585
FairGamble,MDCE,MaxRew,constrained,0,10,14.38525987605878,0.0,28.556670474603088,1.3777637208350613,False,1.3594972024255432
FairGamble,MDCE,MaxRew,constrained,0,11,14.415578694072604,0.0,28.617067320058254,1.3601872711591367,False,1.3478370335822423
FairGamble,MDCE,MaxRew,constrained,0,12,14.447726088337511,0.0,28.68110679564553,1.3467862310744803,True,1.3498073147709395
FairGamble,MDCE,MaxRew,constrained,0,13,14.451389935416875,0.0,28.688405391668834,1.3497265105417298,True,1.3346706026708142
