Environment,Task,SolutionConcept,Method,Epoch,Iteration,Risk,ExpectedReward,BFViolated,RegretViolated,observe_convergence,check_CE
Hunt,MDCE,MaxRew,constrained,0,0,5.058877592191404,377.16387173310864,0.0023316918878819592,0.4970392166819065,False,0.4970392166819065
Hunt,MDCE,MaxRew,constrained,0,1,0.48964719510080823,422.5553091091207,0.0026892790529986312,2.1995747227593747,False,2.1995747227593747
Hunt,MDCE,MaxRew,constrained,0,2,1.189291704172288,414.4598483602721,0.003323479178380739,3.489937256687366,False,3.489937256687366
Hunt,MDCE,MaxRew,constrained,0,3,1.0646281760915088,415.471842308953,0.003369926384771011,3.551475819238913,False,3.551475819238913
Hunt,MDCE,MaxRew,constrained,0,4,0.9291414652055292,416.62648785969384,0.003391778853158569,3.5977720634057206,False,3.5977720634057206
Hunt,MDCE,MaxRew,constrained,0,5,6.996213884227975,354.1667894102685,0.003422370070623515,3.9850881351434766,False,3.9850881351434766
Hunt,MDCE,MaxRew,constrained,0,6,0.6527400934897538,419.46098642909146,0.0032423415866955478,3.4448756264655116,False,3.4448756264655116
Hunt,MDCE,MaxRew,constrained,0,7,0.5986036394628921,420.08325400668133,0.0033475206513744736,2.1429667218309656,False,2.1429667218309656
Hunt,MDCE,MaxRew,constrained,0,8,0.5987871992860895,419.6438494135223,0.0034135496271301895,3.598022236775034,False,3.598022236775034
Hunt,MDCE,MaxRew,constrained,0,9,0.6005281976524303,419.4986688659402,0.0034449543881451875,3.6605546294524958,False,3.6605546294524958
Hunt,MDCE,MaxRew,constrained,0,10,0.592651614708944,419.5210691798733,0.0034735150991396786,3.7055912005573,False,3.7055912005573
Hunt,MDCE,MaxRew,constrained,0,11,0.5577809737472416,420.10138980332374,0.003528055920925163,2.2982034242071796,False,2.2982034242071796
Hunt,MDCE,MaxRew,constrained,0,12,0.49574414943314365,421.9691620085609,0.11857957636282634,2.3289470083830017,False,2.3289470083830017
Hunt,MDCE,MaxRew,constrained,0,13,7.058370558310309,352.2642886415181,0.003529002024542649,4.2539036656114275,False,4.2539036656114275
Hunt,MDCE,MaxRew,constrained,0,14,0.7044648349347722,418.1144967370019,0.0036350269658064482,3.701492329757865,False,3.701492329757865
Hunt,MDCE,MaxRew,constrained,0,15,0.48689217195998696,421.0096907837804,0.0034009869253263402,2.284484487476007,False,2.284484487476007
Hunt,MDCE,MaxRew,constrained,0,16,7.0066794744771075,352.7712789247439,0.0034402887652902336,4.179038994753171,False,4.179038994753171
Hunt,MDCE,MaxRew,constrained,0,17,0.49592425123370665,421.08187626554604,0.003348047796705138,2.235937508574868,False,2.235937508574868
Hunt,MDCE,MaxRew,constrained,0,18,6.953455262182966,354.0995301751059,0.003349056986237997,4.079230686868574,False,4.079230686868574
Hunt,MDCE,MaxRew,constrained,0,19,0.9486124197212816,417.1828455976026,0.004479052927610638,3.5313077933719352,False,3.5313077933719352
Hunt,MDCE,MaxRew,constrained,0,20,6.886377240583421,356.5251307354729,0.0032359428042951777,3.956165333557072,False,3.956165333557072
Hunt,MDCE,MaxRew,constrained,0,21,0.4891711674382314,421.4250204222416,0.0031745368732897443,2.1448268175127985,False,2.1448268175127985
Hunt,MDCE,MaxRew,constrained,0,22,6.863723386879027,358.2133482390462,0.0031952655977320887,3.928008005103476,False,3.928008005103476
Hunt,MDCE,MaxRew,constrained,0,23,0.48789340324280345,420.9955421316003,0.0031666851493389755,3.4531928669826413,False,3.4531928669826413
Hunt,MDCE,MaxRew,constrained,0,24,0.4874574645857845,421.43441457923154,0.003249563803502183,2.17709511749138,False,2.17709511749138
Hunt,MDCE,MaxRew,constrained,0,25,0.4870755623367336,424.2341885654621,0.17402489670040922,1.785623051177697,False,1.785623051177697
Hunt,MDCE,MaxRew,constrained,0,26,6.891033689624171,357.46007083023267,0.0032420416501182103,4.042014262409481,False,4.042014262409481
Hunt,MDCE,MaxRew,constrained,0,27,0.4871872178327768,421.5142380638381,0.0034145114304420785,2.1801672465517337,False,2.1801672465517337
Hunt,MDCE,MaxRew,constrained,0,28,0.4874758618655677,421.15187577320415,0.0032205553051394098,2.2321637789010342,False,2.2321637789010342
Hunt,MDCE,MaxRew,constrained,0,29,0.4856889752906067,424.2148348942243,0.08780548385251308,2.326519868432914,False,2.326519868432914
Hunt,MDCE,MaxRew,constrained,0,30,0.465199772451051,421.6203333422267,0.018124484969447963,2.2710676013458633,False,2.2710676013458633
Hunt,MDCE,MaxRew,constrained,0,31,0.4826626104999535,527.1098997089777,1.58078592807027,2.323204228207186,False,2.323204228207186
Hunt,MDCE,MaxRew,constrained,0,32,1.075873505743028,414.45462767393707,0.0032458895476601413,3.6694014747428967,False,3.6694014747428967
Hunt,MDCE,MaxRew,constrained,0,33,0.8773963478835793,438.6309701296639,1.8912399383723617,3.6709298885348907,False,3.6709298885348907
Hunt,MDCE,MaxRew,constrained,0,34,0.49105537058486115,421.33095714772406,0.003329716329622135,2.3150774780789596,False,2.3150774780789596
Hunt,MDCE,MaxRew,constrained,0,35,6.894479026453864,356.6641167208939,0.0032479677520598216,4.188727420590686,False,4.188727420590686
Hunt,MDCE,MaxRew,constrained,0,36,6.884712518985825,357.1368506791757,0.003231228218062654,4.1616913043649095,False,4.1616913043649095
Hunt,MDCE,MaxRew,constrained,0,37,0.6951155353466169,419.471517277414,0.005330690003166438,3.7234615254989283,False,3.7234615254989283
Hunt,MDCE,MaxRew,constrained,0,38,6.875839812534218,357.20896733375366,0.0032159645209901555,4.160111080603472,False,4.160111080603472
Hunt,MDCE,MaxRew,constrained,0,39,6.7296001356841675,358.92457247751577,0.005169842141443226,4.008504173008943,False,4.008504173008943
Hunt,MDCE,MaxRew,constrained,0,40,0.5203110461205979,427.76612906992915,0.33179661193786814,7.998707396852083,False,7.998707396852083
Hunt,MDCE,MaxRew,constrained,0,41,0.48761629441682014,422.852782916926,0.0042860329000440345,3.519149279760534,False,3.519149279760534
Hunt,MDCE,MaxRew,constrained,0,42,0.49994869780200213,423.0568135330225,0.0038931078048420886,3.6389301120738127,False,3.6389301120738127
Hunt,MDCE,MaxRew,constrained,0,43,0.4878479843818199,420.92586605409247,0.0031784635817526012,3.6209498798776742,False,3.6209498798776742
Hunt,MDCE,MaxRew,constrained,0,44,0.49187254893129695,421.74064659016835,0.007711998176636362,2.240359800021658,False,2.240359800021658
Hunt,MDCE,MaxRew,constrained,0,45,6.853530197302934,357.4575461860356,0.0031777718015320033,4.200327416955014,False,4.200327416955014
Hunt,MDCE,MaxRew,constrained,0,46,6.728655819283679,358.9070647450947,0.0047911898198016445,4.061845159936311,False,4.061845159936311
Hunt,MDCE,MaxRew,constrained,0,47,6.738578871007005,359.17400630081056,0.0029807367434599996,3.9320526572193395,False,3.9320526572193395
Hunt,MDCE,MaxRew,constrained,0,48,0.49060765538091994,423.2427179409928,0.00837622105683522,2.1583155267035514,False,2.1583155267035514
Hunt,MDCE,MaxRew,constrained,0,49,0.4884382006221096,421.3273644885494,0.002982561186091222,3.4728508452979256,False,3.4728508452979256
Hunt,MDCE,MaxRew,constrained,0,50,0.4910582386403322,525.8964048172936,1.50462377961572,5.251390126707537,False,5.251390126707537
Hunt,MDCE,MaxRew,constrained,0,51,0.4885386047690865,421.4400910808249,0.0029511796675167714,3.450561555531313,False,3.450561555531313
Hunt,MDCE,MaxRew,constrained,0,52,0.4880531604557807,422.04198043460815,0.0031127720423449546,2.1125677912237393,False,2.1125677912237393
Hunt,MDCE,MaxRew,constrained,0,53,0.4844555982639674,421.8193092076347,0.0055302434904891005,2.267428538271294,False,2.267428538271294
Hunt,MDCE,MaxRew,constrained,0,54,6.776561052364314,358.56320560855386,0.003045850524920013,4.12898432832404,False,4.12898432832404
Hunt,MDCE,MaxRew,constrained,0,55,0.4886210724724544,422.0882723416678,0.002945819796370648,2.1979256881158897,False,2.1979256881158897
Hunt,MDCE,MaxRew,constrained,0,56,0.48854007328776866,422.0642764545222,0.002956582435131547,2.21939080473451,False,2.21939080473451
Hunt,MDCE,MaxRew,constrained,0,57,0.4883143325700104,421.3108289650192,0.0030079584351934857,3.3297483402678423,False,3.3297483402678423
Hunt,MDCE,MaxRew,constrained,0,58,6.776348718905803,358.52084653924067,0.0030454974563483006,4.179970766675459,False,4.179970766675459
